typeID,parentTypeID,metaGroupID
178,None,1
179,None,1
180,None,1
181,None,1
182,None,1
183,None,1
184,None,1
185,None,1
186,None,1
187,None,1
188,None,1
189,None,1
190,None,1
191,None,1
192,None,1
193,None,1
194,None,1
195,None,1
196,None,1
197,None,1
198,None,1
199,None,1
200,None,1
201,None,1
202,None,1
203,None,1
204,None,1
205,None,1
206,None,1
207,None,1
208,None,1
209,None,1
210,None,1
211,None,1
212,None,1
213,None,1
215,None,1
216,None,1
217,None,1
218,None,1
219,None,1
220,None,1
221,None,1
222,None,1
223,None,1
224,None,1
225,None,1
226,None,1
227,None,1
228,None,1
229,None,1
230,None,1
231,None,1
232,None,1
233,None,1
234,None,1
235,None,1
236,None,1
237,None,1
238,None,1
239,None,1
240,None,1
241,None,1
242,None,1
243,None,1
244,None,1
245,None,1
246,None,1
247,None,1
248,None,1
249,None,1
250,None,1
251,None,1
252,None,1
253,None,1
254,None,1
255,None,1
256,None,1
257,None,1
258,None,1
259,None,1
260,None,1
261,None,1
262,None,1
263,None,1
264,None,1
266,None,1
267,None,1
269,None,1
377,None,1
380,377,2
393,None,1
394,393,2
399,None,1
400,399,2
405,3586,3
406,None,2
421,1195,3
434,None,1
438,439,2
439,None,1
440,434,2
442,None,1
443,None,1
444,None,1
447,None,1
448,447,2
450,None,1
451,None,1
452,None,1
453,None,1
454,None,1
455,None,1
456,None,1
457,None,1
458,None,1
459,None,1
460,None,1
461,None,1
462,None,1
463,None,1
464,None,1
482,483,2
483,None,1
484,None,1
485,None,1
486,None,1
487,None,1
488,None,1
489,None,1
490,None,1
491,None,1
492,None,1
493,None,1
494,None,1
495,None,1
496,None,1
497,None,1
498,None,1
499,None,1
501,None,1
503,None,1
506,1445,3
508,1254,3
509,1246,3
518,520,3
519,520,2
520,None,1
521,2046,3
522,1185,3
523,None,1
524,None,1
526,None,1
527,526,2
529,None,1
530,None,1
533,None,1
561,None,1
562,None,1
563,None,1
564,None,1
565,None,1
566,None,1
567,None,1
568,None,1
569,None,1
570,None,1
571,None,1
572,None,1
573,None,1
574,None,1
575,None,1
577,None,1
578,None,1
580,None,1
581,None,1
582,None,1
583,None,1
584,None,1
